"Location","String Value","String Representation","Data Type"
"82004160","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/Result.cpp\"","ds"
"820041c0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"82004220","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"82004288","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"820042e8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"82004348","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"820043a8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"82004404","<unknown host name>","\"<unknown host name>\"","ds"
"82004418","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"82004474","<Unrecognized platform>","\"<Unrecognized platform>\"","ds"
"8200448c","Microsoft XBox 360","\"Microsoft XBox 360\"","ds"
"820044a0","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"820044fc","ThreadScrambler","\"ThreadScrambler\"","ds"
"82004510","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"8200456c","0123456789abcdfeABCDEF-","\"0123456789abcdfeABCDEF-\"","ds"
"82004588","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"820045e8","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"82004654","localhost","\"localhost\"","ds"
"82004660","X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp","\"X:/JD_CODE/main_legacy/extern/RendezVousClientSDK/OnlineCore/src/Platform/Core/String.cpp\"","ds"
"820046bc","%d.%d.%d.%d","\"%d.%d.%d.%d\"","ds"
